ID заказа,Дата отправки,Расстояние (км),Опыт водителя (лет),Вес груза (кг),Тип груза,Погодные условия,Сезон,Время суток,День недели,Задержка доставки (дней),Группа опыта
OD15142,2019-01-01,1113,15,7733,Опасный,Снег,Зима,День,Вторник,0,11-20
DL98960,2019-01-01,735,9,7477,Обычный,Метель,Зима,Утро,Вторник,0,6-10
OD41368,2019-01-02,1129,13,7589,Обычный,Ясно,Зима,Ночь,Среда,0,11-20
OR96207,2019-01-02,1130,20,14930,Опасный,Ясно,Зима,Вечер,Среда,2,11-20
OD46273,2019-01-02,1201,9,11187,Замороженный,Ясно,Зима,Ночь,Среда,0,6-10
OD36705,2019-01-02,1516,19,14422,Обычный,Метель,Зима,День,Среда,2,11-20
OR86751,2019-01-02,532,10,10449,Опасный,Метель,Зима,Ночь,Среда,0,6-10
OD20278,2019-01-03,1990,36,29663,Хрупкий,Снег,Зима,Ночь,Четверг,5,30+
DL89156,2019-01-03,1701,23,19794,Хрупкий,Снег,Зима,Вечер,Четверг,3,21-30
DL39394,2019-01-03,1349,18,19123,Замороженный,Метель,Зима,Ночь,Четверг,2,11-20
OD23136,2019-01-04,1042,13,15696,Обычный,Снег,Зима,Утро,Пятница,1,11-20
OD20982,2019-01-04,667,20,21124,Обычный,Метель,Зима,День,Пятница,1,11-20
DL35972,2019-01-05,1786,22,22514,Замороженный,Ясно,Зима,День,Суббота,3,21-30
OD24809,2019-01-05,824,14,6622,Обычный,Туман,Зима,Вечер,Суббота,0,11-20
DL88484,2019-01-06,1575,24,21926,Хрупкий,Метель,Зима,День,Воскресенье,3,21-30
DL55317,2019-01-06,774,,12728,Обычный,Метель,Зима,Вечер,Воскресенье,0,
OD18640,2019-01-07,551,15,8197,Замороженный,Снег,Зима,Утро,Понедельник,0,11-20
OD35455,2019-01-07,1941,30,32869,Замороженный,Метель,Зима,Утро,Понедельник,5,21-30
OD54545,2019-01-07,386,11,12045,Опасный,Снег,Зима,День,Понедельник,0,11-20
OR21831,2019-01-07,1616,31,28584,Хрупкий,Снег,Зима,Вечер,Понедельник,4,30+
OR23118,2019-01-08,1721,30,29992,Опасный,Ясно,Зима,Ночь,Вторник,4,21-30
OD66380,2019-01-08,763,9,15112,Обычный,Снег,Зима,Вечер,Вторник,0,6-10
OD86694,2019-01-08,965,12,14960,Замороженный,Ясно,Зима,Утро,Вторник,0,11-20
OR53858,2019-01-08,1191,19,17688,Обычный,Снег,Зима,День,Вторник,1,11-20
OR75355,2019-01-10,710,11,14795,Обычный,Снег,Зима,День,Четверг,0,11-20
OD50698,2019-01-10,685,10,7098,Опасный,Снег,Зима,Вечер,Четверг,0,6-10
OD63268,2019-01-10,1349,18,14516,Опасный,Снег,Зима,Утро,Четверг,1,11-20
DL41045,2019-01-10,1440,28,29625,Опасный,Ясно,Зима,Утро,Четверг,4,21-30
OR56193,2019-01-10,1134,8,15235,Обычный,Ясно,Зима,День,Четверг,0,6-10
DL50284,2019-01-10,2442,44,34645,Обычный,Ясно,Зима,День,Четверг,7,30+
OR23695,2019-01-11,983,7,13069,Хрупкий,Ясно,Зима,Ночь,Пятница,0,6-10
DL12328,2019-01-11,560,15,16047,Опасный,Метель,Зима,День,Пятница,0,11-20
OD15458,2019-01-11,679,13,13380,Обычный,Ясно,Зима,Вечер,Пятница,1,11-20
OR20730,2019-01-11,1167,27,27073,Обычный,Ясно,Зима,Вечер,Пятница,3,21-30
OR37216,2019-01-12,1594,30,29748,Опасный,Ясно,Зима,Утро,Суббота,5,21-30
OD81542,2019-01-12,1558,21,20810,Опасный,Ясно,Зима,Вечер,Суббота,3,21-30
OD86374,2019-01-12,1158,28,19428,Замороженный,Снег,Зима,Утро,Суббота,3,21-30
OD47195,2019-01-12,1165,23,19511,Обычный,Ясно,Зима,Утро,Суббота,2,21-30
OD17970,2019-01-12,1008,16,8301,Обычный,Метель,Зима,День,Суббота,0,11-20
DL39289,2019-01-12,1082,9,14144,Замороженный,Снег,Зима,Вечер,Суббота,0,6-10
OD86589,2019-01-12,1061,,12091,Замороженный,Ясно,Зима,Вечер,Суббота,0,
DL47927,2019-01-12,1126,10,17445,Хрупкий,Снег,Зима,День,Суббота,0,6-10
OD99264,2019-01-13,1079,13,13094,Опасный,Снег,Зима,Вечер,Воскресенье,1,11-20
OR54443,2019-01-13,1149,14,14809,Хрупкий,Ясно,Зима,День,Воскресенье,0,11-20
OD16254,2019-01-13,686,,21914,Опасный,Ясно,Зима,День,Воскресенье,1,
DL22876,2019-01-13,724,10,9495,Опасный,Ясно,Зима,Вечер,Воскресенье,0,6-10
OR18855,2019-01-13,707,10,9973,Обычный,Снег,Зима,Ночь,Воскресенье,0,6-10
OR46920,2019-01-13,1025,17,15292,Обычный,Ясно,Зима,Утро,Воскресенье,1,11-20
DL15694,2019-01-14,719,14,11135,Опасный,Метель,Зима,Вечер,Понедельник,0,11-20
OD13562,2019-01-14,1042,7,10522,Опасный,Ясно,Зима,Ночь,Понедельник,0,6-10
DL43407,2019-01-14,1984,25,25953,Опасный,Снег,Зима,Вечер,Понедельник,3,21-30
OR40915,2019-01-14,1472,21,18563,Хрупкий,Снег,Зима,Вечер,Понедельник,2,21-30
OD82619,2019-01-14,1981,24,21855,Опасный,Ясно,Зима,Утро,Понедельник,4,21-30
OR26034,2019-01-16,433,10,17098,Хрупкий,Снег,Зима,Вечер,Среда,0,6-10
OD40520,2019-01-16,1386,22,16213,Хрупкий,Метель,Зима,Утро,Среда,2,21-30
OR10062,2019-01-17,926,13,11971,Замороженный,Ясно,Зима,Вечер,Четверг,0,11-20
OR83373,2019-01-17,822,10,13053,Хрупкий,Ясно,Зима,Ночь,Четверг,0,6-10
OR19390,2019-01-17,978,8,15268,Обычный,Ясно,Зима,Утро,Четверг,0,6-10
OD51298,2019-01-17,1846,25,23845,Замороженный,Ясно,Зима,День,Четверг,3,21-30
OD50901,2019-01-18,597,12,12417,Опасный,Метель,Зима,Вечер,Пятница,0,11-20
OD50043,2019-01-18,926,16,9012,Опасный,Ясно,Зима,Ночь,Пятница,0,11-20
OR76226,2019-01-19,976,9,14061,Хрупкий,Ясно,Зима,Утро,Суббота,0,6-10
OD78413,2019-01-19,1341,12,12144,Обычный,Снег,Зима,Вечер,Суббота,1,11-20
OD97004,2019-01-19,965,14,10463,Хрупкий,Метель,Зима,Вечер,Суббота,0,11-20
DL66023,2019-01-19,485,11,10143,Обычный,Ясно,Зима,Ночь,Суббота,0,11-20
DL90986,2019-01-19,903,20,16985,Хрупкий,Метель,Зима,День,Суббота,2,11-20
