Расстояние (км),Вес груза (кг),Объём груза (м³),Плотность (кг/м³),Стоимость топлива (тенге/л),Тип груза,Тип транспорта,Зарплата водителя (тенге),Налоги и сборы (тенге),Стоимость доставки (тенге)
1670.0,1601.0,5.6,286.0,198.0,Техника,Тент,141528.0,33601.0,217423.0
1259.0,747.0,2.2,340.0,186.0,Продукты,Тент,100124.0,19513.0,221081.0
392.0,37950.0,58.3,651.0,194.0,Продукты,Грузовик,164789.0,34464.0,245672.0
2784.0,4968.0,62.9,79.0,195.0,Мебель,Грузовик,113642.0,22592.0,311172.0
1691.0,2553.0,15.8,162.0,217.0,Мебель,Грузовик,121309.0,24993.0,236791.0
926.0,32984.0,26.5,1245.0,182.0,Стройматериалы,Тент,138682.0,23258.0,205041.0
1104.0,5208.0,19.9,262.0,183.0,Техника,Грузовик,,,190962.0
823.0,35620.0,50.9,700.0,199.0,Продукты,Грузовик,156544.0,31072.0,248822.0
1902.0,4237.0,23.0,184.0,213.0,Мебель,Тент,111738.0,24054.0,252598.0
2916.0,6665.0,24.66383573812185,270.0,251.0,Техника,Грузовик,184948.0,45599.0,379381.0
2504.0,17610.0,91.1,193.0,244.0,Мебель,Грузовик,101568.0,15313.0,266831.0
1348.0,1067.0,1.5636628319280463,682.0,240.0,Продукты,Рефрижератор,103332.0,23474.0,299825.0
2531.0,17194.0,86.5,199.0,231.0,Мебель,Грузовик,153547.0,32697.0,365675.0
1316.0,9831.0,55.6,177.0,202.0,Мебель,Грузовик,133297.0,27287.0,208920.0
837.0,13449.0,23.2,580.0,237.0,Одежда,Тент,108777.0,17952.0,135572.0
2952.0,20769.0,34.5,602.0,185.0,Одежда,Грузовик,111280.0,23262.0,221244.0
982.0,4231.0,10.7,395.0,202.0,Техника,Грузовик,104598.0,16444.0,157981.0
984.0,9225.0,56.6,163.0,203.0,Мебель,Грузовик,125203.0,26422.0,217665.0
2792.0,9855.0,27.5,358.0,213.0,Техника,Тент,172727.0,27633.0,334404.0
455.0,9253.0,71.5,129.0,259.0,Мебель,Грузовик,141706.0,35127.0,181802.0
2318.0,3744.0,23.0,163.0,224.0,Мебель,Тент,182656.0,33735.0,383658.0
2786.0,832.0,,568.0,223.0,Продукты,Тент,149016.0,27824.0,376340.0
1598.0,4548.0,7.0,650.0,244.0,Продукты,Грузовик,112604.0,27953.0,288803.0
94.0,8209.0,25.5,322.0,203.0,Продукты,Грузовик,123624.0,30772.0,167021.0
1116.0,6486.0,27.0,240.0,234.0,Техника,Грузовик,150695.0,23637.0,201126.0
416.0,1329.0,2.977329533043359,446.0,213.0,Продукты,Рефрижератор,176219.0,32910.0,321692.0
1350.0,1109.0,1.861946833255464,596.0,247.0,Продукты,Рефрижератор,,,361352.0
2241.0,7928.0,23.6,336.0,253.0,Техника,Грузовик,172740.0,28180.0,292488.0
1385.0,11746.0,54.4,216.0,236.0,Техника,Грузовик,197936.0,41142.0,275790.0
1373.0,1086.0,2.075463914014916,523.0,196.0,Продукты,Рефрижератор,155775.0,31921.0,343585.0
1737.0,8319.0,3.7,2248.0,235.0,Стройматериалы,Грузовик,,,288427.0
1807.0,10902.0,29.5,370.0,205.0,Техника,Грузовик,113087.0,24520.0,222988.0
2669.0,8240.0,51.2,161.0,244.0,Мебель,Грузовик,100823.0,23023.0,294264.0
978.0,17956.0,26.8,670.0,196.0,Одежда,Грузовик,172459.0,42672.0,203595.0
2347.0,23792.0,89.4,266.0,218.0,Продукты,Грузовик,120545.0,20147.0,289320.0
1807.0,2077.0,8.2,253.0,257.0,Техника,Тент,183623.0,44913.0,294152.0
988.0,735.0,2.081333148060031,353.0,230.0,Продукты,Тент,155443.0,26770.0,242036.0
959.0,5577.0,29.1,192.0,209.0,Мебель,Тент,189688.0,28679.0,290436.0
1106.0,950.0,2.8026407329029235,339.0,214.0,Продукты,Тент,177746.0,40402.0,298286.0
1957.0,7461.0,32.4,230.0,242.0,Техника,Грузовик,195487.0,45934.0,341686.0
769.0,3142.0,33.1,95.0,183.0,Мебель,Тент,115144.0,21672.0,173523.0
2831.0,17544.0,40.0,439.0,210.0,Одежда,Тент,105583.0,22238.0,259352.0
1678.0,6715.0,28.2,238.0,204.0,Техника,Грузовик,192350.0,38067.0,301253.0
2875.0,1347.0,3.2,421.0,221.0,Одежда,Грузовик,191943.0,39865.0,305250.0
