ID маршрута,Дата отправки,Расстояние (км),Средняя скорость (км/ч),Загруженность дорог,Погодные условия,Тип транспорта,Вес груза (кг),Время суток,День недели,Фактическое время в пути (часы)
RTE69196,2019-01-01,1946,75,Средняя,Снег,Прицеп,5152.0,День,Вторник,29
RT66389,2019-01-01,1106,67,Средняя,Снег,Фургон,8122.0,Вечер,Вторник,14
RT95245,2019-01-01,2059,41,Высокая,Снег,Прицеп,13803.0,Утро,Вторник,41
RTE53292,2019-01-02,515,72,Средняя,Ясно,Фургон,2156.0,Утро,Среда,7
RTE10603,2019-01-02,700,78,Средняя,,Прицеп,15181.0,Утро,Среда,12
RTE20774,2019-01-02,1553,89,Средняя,Ясно,Прицеп,3091.0,Вечер,Среда,18
RT29596,2019-01-02,1640,89,Малая,,Прицеп,22414.0,Ночь,Среда,17
RT47690,2019-01-02,1127,90,Малая,Ясно,Грузовик,28805.0,Ночь,Среда,15
RTE49153,2019-01-03,942,59,Малая,Ясно,Прицеп,22549.0,Ночь,Четверг,14
MR69995,2019-01-03,947,71,Средняя,Ясно,Прицеп,26326.0,Утро,Четверг,13
MR86709,2019-01-03,391,72,Малая,Ясно,Грузовик,,Ночь,Четверг,6
MR74508,2019-01-03,715,81,Средняя,Ясно,Грузовик,22020.0,День,Четверг,11
RT54721,2019-01-03,39,61,Высокая,Ясно,Прицеп,1821.0,Утро,Четверг,1
RTE73723,2019-01-03,1587,70,Средняя,Ясно,Фургон,16052.0,Вечер,Четверг,24
RT81723,2019-01-04,674,59,Средняя,Ясно,Фургон,,Утро,Пятница,12
RT75250,2019-01-04,824,81,Малая,Ясно,Прицеп,13358.0,Ночь,Пятница,10
RT55916,2019-01-05,1517,45,Средняя,Снег,Прицеп,8617.0,Утро,Суббота,27
RT64175,2019-01-05,684,60,Средняя,Снег,Прицеп,27115.0,Утро,Суббота,11
MR98352,2019-01-05,1488,43,Средняя,Снег,Фургон,3824.0,Ночь,Суббота,33
RT17552,2019-01-06,1649,46,Средняя,Снег,Фургон,25656.0,Ночь,Воскресенье,36
RT76067,2019-01-06,1259,63,Средняя,Снег,Фургон,13034.0,День,Воскресенье,26
RT37032,2019-01-06,99,45,Средняя,Снег,Прицеп,28617.0,День,Воскресенье,2
RT81569,2019-01-07,1577,50,Высокая,Туман,Фургон,29151.0,Вечер,Понедельник,25
RT42151,2019-01-07,1223,50,Средняя,Туман,Прицеп,6549.0,Ночь,Понедельник,22
RT86207,2019-01-07,499,58,Малая,Туман,Прицеп,1873.0,Ночь,Понедельник,7
RT39759,2019-01-07,689,72,Малая,Туман,Фургон,24900.0,Ночь,Понедельник,11
RT24209,2019-01-08,1433,74,Малая,Ясно,Фургон,27224.0,День,Вторник,17
RTE75279,2019-01-08,1714,84,Средняя,Ясно,Фургон,2689.0,Вечер,Вторник,24
RT62951,2019-01-08,563,50,Высокая,Ясно,Прицеп,19381.0,Вечер,Вторник,11
MR88851,2019-01-08,1195,44,Высокая,Ясно,Прицеп,5701.0,Вечер,Вторник,25
RT57933,2019-01-08,1280,65,Малая,Ясно,Фургон,9311.0,День,Вторник,22
MR56263,2019-01-09,1590,65,Малая,,Фургон,29395.0,Ночь,Среда,25
