ID ТС,Дата записи,Пробег (км),Возраст ТС (лет),Количество ТО за год,Загрузка (%),Средняя скорость (км/ч),Средняя нагрузка двигателя (%),Поломка в ближайший месяц
VEH92568,2019-01-01,1067790.0,20.0,1.0,35.8,76.0,38.0,1
VEH51120,2019-01-02,341095.0,8.0,3.0,42.1,66.0,90.0,0
VEH79897,2019-01-02,200772.0,3.0,10.0,30.4,93.0,46.0,0
VEH75308,2019-01-02,1122159.0,17.0,1.0,81.5,82.0,65.0,0
VEH29040,2019-01-02,15913.0,1.0,0.0,73.7,63.0,89.0,0
VEH43971,2019-01-02,264408.0,7.0,8.0,35.4,44.0,73.0,0
VEH75488,2019-01-03,1209647.0,17.0,3.0,70.9,55.0,52.0,1
VEH11677,2019-01-03,930643.0,17.0,6.0,50.1,71.0,,1
VEH64804,2019-01-03,1010053.0,18.0,4.0,72.8,57.0,38.0,0
VEH58850,2019-01-04,18830.0,0.0,2.0,49.3,74.0,89.0,0
VEH98934,2019-01-05,283757.0,10.0,4.0,86.5,41.0,35.0,0
VEH89371,2019-01-05,521334.0,10.0,1.0,57.8,45.0,92.0,0
VEH45643,2019-01-06,182869.0,3.0,5.0,52.0,53.0,60.0,0
VEH63142,2019-01-06,883639.0,19.0,4.0,47.8,77.0,41.0,1
VEH34186,2019-01-07,687456.0,14.0,9.0,83.0,76.0,92.0,0
VEH85898,2019-01-08,346585.0,12.0,1.0,48.6,78.0,60.0,0
VEH04124,2019-01-08,1124368.0,20.0,9.0,35.8,83.0,51.0,1
VEH13973,2019-01-08,547508.0,11.0,8.0,59.4,81.0,83.0,0
VEH92394,2019-01-10,11474.0,2.0,0.0,35.0,69.0,69.0,0
VEH03651,2019-01-10,226756.0,9.0,1.0,98.1,54.0,57.0,1
VEH67186,2019-01-10,163892.0,3.0,6.0,47.9,72.0,70.0,0
VEH74218,2019-01-10,861391.0,20.0,,35.1,61.0,57.0,1
VEH24305,2019-01-10,499152.0,11.0,3.0,55.7,33.0,80.0,0
VEH40445,2019-01-10,926928.0,20.0,1.0,87.8,24.0,62.0,1
VEH12255,2019-01-11,258395.0,5.0,8.0,41.8,42.0,68.0,0
VEH28506,2019-01-11,283789.0,5.0,7.0,57.6,36.0,115.0,0
VEH19250,2019-01-11,1100941.0,20.0,8.0,94.7,70.0,48.0,0
VEH95713,2019-01-11,478218.0,10.0,0.0,82.1,28.0,31.0,1
VEH17299,2019-01-12,21401.0,1.0,5.0,61.2,88.0,30.0,0
VEH08673,2019-01-12,10112.0,2.0,3.0,60.2,64.0,94.0,0
VEH65234,2019-01-12,990959.0,18.0,5.0,33.5,24.0,108.0,1
VEH87538,2019-01-12,619636.0,15.0,6.0,94.9,79.0,67.0,0
VEH03883,2019-01-12,971614.0,20.0,7.0,97.3,58.0,33.0,0
VEH86228,2019-01-13,245893.0,4.0,3.0,75.7,44.0,88.0,0
VEH87235,2019-01-13,1159319.0,17.0,4.0,74.1,40.0,52.0,1
VEH34642,2019-01-13,636498.0,13.0,9.0,80.0,54.0,54.0,0
VEH02205,2019-01-13,147633.0,7.0,2.0,60.9,72.0,51.0,0
VEH31372,2019-01-14,20547.0,2.0,0.0,52.5,83.0,51.0,0
VEH70520,2019-01-14,177586.0,4.0,10.0,58.2,29.0,52.0,0
VEH23907,2019-01-14,558385.0,13.0,10.0,36.8,50.0,71.0,0
VEH90904,2019-01-14,418883.0,12.0,9.0,33.9,27.0,82.0,0
VEH62539,2019-01-14,1126636.0,16.0,4.0,54.5,43.0,33.0,1
VEH70371,2019-01-16,11218.0,0.0,10.0,73.4,69.0,81.0,0
VEH09243,2019-01-16,977368.0,17.0,4.0,75.2,24.0,41.0,0
VEH06180,2019-01-17,647425.0,10.0,1.0,42.3,72.0,78.0,0
VEH84059,2019-01-17,107787.0,5.0,8.0,48.9,63.0,51.0,0
VEH79563,2019-01-17,188041.0,8.0,8.0,89.9,50.0,52.0,0
VEH99107,2019-01-18,937247.0,16.0,1.0,66.3,44.0,57.0,1
VEH21193,2019-01-19,235623.0,9.0,10.0,55.4,39.0,76.0,0
VEH61228,2019-01-19,304678.0,6.0,2.0,65.1,70.0,76.0,0
VEH76595,2019-01-19,112343.0,5.0,7.0,92.6,16.0,62.0,1
VEH84938,2019-01-19,1042831.0,16.0,0.0,35.6,31.0,70.0,0
VEH12678,2019-01-19,655824.0,15.0,0.0,39.0,24.0,81.0,0
VEH45635,2019-01-19,423192.0,11.0,4.0,73.8,26.0,53.0,0
VEH58699,2019-01-19,303513.0,7.0,9.0,64.7,41.0,34.0,0
VEH86029,2019-01-19,35083.0,2.0,7.0,60.4,49.0,80.0,0
VEH79760,2019-01-19,940165.0,17.0,2.0,50.9,31.0,75.0,1
VEH57806,2019-01-19,602235.0,15.0,8.0,61.1,34.0,67.0,0
VEH88030,2019-01-19,926037.0,16.0,9.0,81.4,26.0,91.0,0
VEH46918,2019-01-19,404702.0,6.0,8.0,45.1,26.0,62.0,0
VEH56492,2019-01-20,332504.0,6.0,4.0,90.3,21.0,37.0,1
VEH05208,2019-01-21,1224470.0,20.0,5.0,84.3,50.0,82.0,0
VEH97532,2019-01-21,1067365.0,16.0,7.0,83.2,31.0,89.0,0
VEH32286,2019-01-21,156018.0,7.0,1.0,92.5,49.0,73.0,0
VEH53229,2019-01-22,1041446.0,18.0,7.0,98.9,77.0,59.0,1
VEH71269,2019-01-22,396865.0,7.0,0.0,89.2,63.0,33.0,0
VEH10155,2019-01-22,1067428.0,20.0,0.0,88.4,78.0,97.0,1
VEH90785,2019-01-22,38497.0,1.0,5.0,53.5,37.0,30.0,1
VEH10193,2019-01-22,320319.0,7.0,4.0,39.8,43.0,26.0,0
VEH86121,2019-01-22,178409.0,6.0,8.0,33.8,75.0,32.0,1
VEH27853,2019-01-22,866542.0,18.0,9.0,86.9,76.0,76.0,0
VEH66550,2019-01-23,896114.0,15.0,6.0,90.1,66.0,49.0,0
VEH54063,2019-01-23,119353.0,3.0,11.0,65.3,77.0,102.0,0
VEH63301,2019-01-23,420036.0,13.0,6.0,65.4,101.0,43.0,0
VEH05846,2019-01-24,18819.0,1.0,10.0,47.8,103.0,97.0,0
VEH41313,2019-01-25,1055040.0,20.0,1.0,45.7,53.0,93.0,0
VEH91239,2019-01-25,397814.0,10.0,1.0,68.4,72.0,82.0,0
VEH43890,2019-01-25,197566.0,6.0,8.0,80.5,66.0,101.0,0
VEH62284,2019-01-25,828069.0,13.0,2.0,49.2,91.0,68.0,0
VEH17390,2019-01-25,247020.0,7.0,1.0,56.9,71.0,42.0,0
VEH07480,2019-01-25,1251897.0,17.0,1.0,43.7,93.0,77.0,1
VEH90979,2019-01-26,1208379.0,17.0,0.0,91.2,81.0,58.0,1
VEH10812,2019-01-26,347739.0,7.0,2.0,46.7,104.0,66.0,0
VEH88449,2019-01-27,354335.0,15.0,3.0,70.1,66.0,109.0,0
VEH12081,2019-01-28,30907.0,1.0,2.0,68.0,42.0,68.0,0
VEH85889,2019-01-28,486955.0,12.0,4.0,32.0,65.0,49.0,0
VEH28149,2019-01-28,365624.0,14.0,4.0,88.3,36.0,90.0,0
VEH62203,2019-01-29,1013500.0,17.0,11.0,96.6,61.0,85.0,0
VEH88528,2019-01-29,55511.0,4.0,3.0,95.3,53.0,86.0,1
VEH17092,2019-01-29,24375.0,1.0,9.0,56.0,70.0,89.0,0
VEH95786,2019-01-29,14978.0,1.0,5.0,45.5,86.0,68.0,0
