ID заказа,Дата заказа,Тип клиента,Категория груза,Вес груза (кг),Объём груза (м³),Требуемое время доставки (дней),Расстояние до клиента (км),Особые условия,Приоритет доставки
OC94021,2019-01-01,Корпоративный,Продукты питания,1599.34,7.11,5.0,422.0,Требуется аккуратность,Средний
OC49150,2019-01-01,Корпоративный,Стройматериалы,2453.17,10.85,9.0,761.0,Нет,Низкий
OC57082,2019-01-01,Корпоративный,Медикаменты,406.11,2.11,1.0,63.0,Требуется холод,Высокий
OC96508,2019-01-01,Корпоративный,Техника,1548.39,6.53,2.0,255.0,Нет,Средний
OR78525,2019-01-01,Корпоративный,Медикаменты,297.43,1.34,1.0,13.0,Требуется холод,Высокий
OC47041,2019-01-01,Частный,Стройматериалы,793.13,3.24,1.0,14.0,Требуется холод,Высокий
OC67618,2019-01-01,Частный,Продукты питания,2391.12,13.23,13.0,730.0,Нет,Низкий
OD10862,2019-01-01,Частный,Одежда,2379.87,14.17,16.0,848.0,Нет,Низкий
OD25225,2019-01-01,Частный,Продукты питания,1567.52,7.1,13.0,1067.0,Нет,
,2019-01-01,Частный,Продукты питания,497.3,2.45,1.0,2.0,Требуется холод,Высокий
OC81044,2019-01-01,Частный,Медикаменты,541.77,2.64,1.0,116.0,Требуется холод,Высокий
OD48471,2019-01-01,Корпоративный,Медикаменты,647.69,3.29,1.0,76.0,Требуется холод,Высокий
OC16376,2019-01-01,Корпоративный,Медикаменты,204.3,,1.0,63.0,Требуется холод,Высокий
OC39113,2019-01-01,Корпоративный,Продукты питания,2711.42,12.88,7.0,726.0,Нет,Низкий
OR20923,2019-01-01,Корпоративный,Стройматериалы,2422.98,10.33,9.0,782.0,Нет,Низкий
OR79192,2019-01-01,Частный,Техника,1686.26,7.58,6.0,326.0,Требуется аккуратность,Средний
OD70838,2019-01-02,Частный,Одежда,695.11,3.89,1.0,11.0,Требуется холод,Высокий
OD64514,2019-01-02,Частный,Продукты питания,260.76,1.35,,,Требуется холод,Высокий
OR28886,2019-01-02,Корпоративный,Медикаменты,12293.23,50.87,12.0,1400.0,Требуется холод,
OC95762,2019-01-02,Корпоративный,Техника,1771.25,7.85,4.0,,Требуется аккуратность,Средний
OR32535,2019-01-02,Частный,Продукты питания,2572.33,12.35,11.0,823.0,Нет,Низкий
OC39731,2019-01-02,Частный,Одежда,492.83,2.61,2.0,166.0,Нет,Высокий
OD54231,2019-01-02,Частный,Стройматериалы,2517.41,14.02,10.0,541.0,Требуется аккуратность,Низкий
OD58588,2019-01-02,Частный,Стройматериалы,1456.07,7.53,4.0,,Нет,Средний
OR72935,2019-01-02,Частный,Техника,396.35,2.3,2.0,173.0,Требуется холод,Высокий
OD78626,2019-01-02,Частный,Одежда,2565.75,14.39,11.0,708.0,Нет,Низкий
,2019-01-02,Корпоративный,Продукты питания,1693.73,8.39,3.0,269.0,Нет,Средний
OR18729,2019-01-02,Корпоративный,Техника,2207.3,12.05,11.0,700.0,Нет,Низкий
OC12200,2019-01-02,Частный,Медикаменты,453.08,1.96,1.0,73.0,Требуется холод,Высокий
OD30311,2019-01-02,Частный,Медикаменты,339.54,1.59,4.0,251.0,Требуется холод,Высокий
OC97821,2019-01-03,Корпоративный,Медикаменты,534.92,2.16,1.0,54.0,Требуется холод,Высокий
OC86456,2019-01-03,Частный,Продукты питания,1494.7,,9.0,497.0,Требуется аккуратность,Средний
OR68878,2019-01-03,Частный,Продукты питания,461.53,,1.0,97.0,Требуется холод,Высокий
OR23249,,Корпоративный,Медикаменты,266.26,1.46,2.0,163.0,Требуется холод,Высокий
,2019-01-03,Частный,Продукты питания,318.12,1.87,2.0,147.0,Требуется холод,Высокий
OC17579,2019-01-03,Корпоративный,Медикаменты,1938.09,,2.0,255.0,Нет,Средний
OR40460,2019-01-03,Частный,Техника,519.93,2.47,2.0,105.0,Нет,Высокий
,2019-01-03,Частный,Одежда,1287.54,,2.0,226.0,Нет,Средний
OR60531,2019-01-03,Корпоративный,Продукты питания,1809.99,8.36,4.0,365.0,Требуется аккуратность,Средний
OC22065,,Корпоративный,Стройматериалы,1253.83,5.68,2.0,171.0,Требуется аккуратность,Средний
OD82742,,Корпоративный,Медикаменты,536.93,2.15,1.0,1.0,Требуется холод,Высокий
OR88611,2019-01-04,Частный,Стройматериалы,235.91,,2.0,124.0,Требуется холод,Высокий
OC16301,,Корпоративный,Одежда,550.1,2.54,2.0,119.0,Требуется холод,Высокий
OC58644,2019-01-04,Частный,Техника,2558.61,10.32,14.0,738.0,,Низкий
OC49680,,Корпоративный,Стройматериалы,1261.74,6.46,4.0,363.0,Нет,Средний
OR16360,2019-01-04,Частный,Продукты питания,731.72,3.93,2.0,133.0,Требуется холод,Высокий
OD94833,2019-01-04,Частный,Медикаменты,664.41,3.13,1.0,40.0,Требуется холод,Высокий
OC49683,2019-01-04,Корпоративный,Продукты питания,1322.1,6.35,4.0,327.0,Нет,Средний
OC58831,2019-01-04,Корпоративный,Медикаменты,555.34,2.57,1.0,,Требуется холод,Высокий
OC88536,2019-01-04,Корпоративный,Одежда,1790.71,8.12,3.0,350.0,Требуется аккуратность,Средний
OR88672,2019-01-04,Корпоративный,Медикаменты,328.57,1.53,1.0,82.0,Требуется холод,Высокий
OD12047,2019-01-04,Корпоративный,Техника,2642.8,13.54,7.0,632.0,Требуется аккуратность,Низкий
OD97466,2019-01-05,Корпоративный,Продукты питания,197.03,1.01,1.0,117.0,Требуется холод,Высокий
OC67480,2019-01-05,Частный,Одежда,,13.75,12.0,731.0,Требуется аккуратность,Низкий
OR62355,,Корпоративный,Продукты питания,323.23,1.77,1.0,9.0,Требуется аккуратность,Высокий
OR20681,2019-01-05,Частный,Продукты питания,1571.56,6.71,,387.0,Нет,Средний
OR64677,2019-01-05,Частный,Стройматериалы,2710.76,16.04,8.0,741.0,Нет,Низкий
,2019-01-05,Частный,Техника,2602.76,13.13,6.0,746.0,,Низкий
OD30245,2019-01-05,Корпоративный,Продукты питания,727.11,4.14,1.0,75.0,Требуется холод,Высокий
OR66648,2019-01-05,Корпоративный,Продукты питания,1651.79,,2.0,281.0,Нет,Средний
OR55011,,Частный,Одежда,2402.93,9.91,7.0,551.0,Нет,Низкий
OR28296,2019-01-05,Частный,Продукты питания,637.25,3.01,2.0,187.0,Требуется аккуратность,Высокий
OR36019,2019-01-06,Корпоративный,Техника,2512.86,13.71,12.0,754.0,Требуется аккуратность,Низкий
OC94482,2019-01-06,Частный,Техника,353.93,1.48,1.0,48.0,Требуется холод,Высокий
OC49923,2019-01-06,Частный,Стройматериалы,2928.79,12.7,10.0,715.0,Требуется аккуратность,Низкий
OR84702,2019-01-06,Корпоративный,Продукты питания,367.64,1.89,1.0,91.0,Требуется холод,Высокий
OR33734,2019-01-06,Корпоративный,Одежда,601.0,2.99,1.0,73.0,Нет,Высокий
OD33426,2019-01-06,Частный,Одежда,405.01,1.94,1.0,132.0,Требуется холод,Высокий
OR64803,2019-01-06,Корпоративный,Продукты питания,1247.82,5.4,7.0,383.0,Нет,Средний
OC49243,2019-01-06,Корпоративный,Медикаменты,196.13,0.79,1.0,43.0,Требуется холод,Высокий
OD70529,2019-01-06,Корпоративный,Техника,588.76,2.36,2.0,95.0,Требуется холод,Высокий
OR51700,2019-01-06,Корпоративный,Медикаменты,148.25,0.77,1.0,0.0,Требуется холод,Высокий
OR17403,2019-01-06,Корпоративный,Одежда,826.48,4.01,1.0,110.0,,Высокий
OC12301,2019-01-07,Частный,Стройматериалы,788.25,4.39,1.0,101.0,Требуется холод,Высокий
OC74288,2019-01-07,Частный,Стройматериалы,1303.7,6.1,3.0,252.0,Требуется аккуратность,Средний
,2019-01-07,Частный,Техника,2513.96,10.06,13.0,753.0,Нет,Низкий
,2019-01-07,Корпоративный,Техника,817.2,4.1,1.0,56.0,Требуется холод,Высокий
OD38107,2019-01-07,Корпоративный,Одежда,2469.64,12.1,5.0,,Нет,Низкий
OR54251,2019-01-07,Корпоративный,Одежда,375.46,1.65,1.0,53.0,Нет,Высокий
OC15994,2019-01-07,Частный,Одежда,2669.92,15.99,4.0,,Требуется аккуратность,Низкий
OR53056,,Корпоративный,Медикаменты,679.92,2.87,2.0,150.0,Требуется холод,Высокий
OR45201,2019-01-07,Корпоративный,Стройматериалы,1334.2,6.37,3.0,349.0,Нет,Средний
OD99345,2019-01-07,Корпоративный,Медикаменты,495.82,2.51,1.0,53.0,Требуется холод,Высокий
OR74802,2019-01-07,Частный,Техника,609.42,2.86,2.0,188.0,Требуется холод,Высокий
OC25786,2019-01-07,Частный,Медикаменты,665.08,3.14,,204.0,Требуется холод,Высокий
OD48415,2019-01-07,Частный,Продукты питания,504.2,,1.0,75.0,Требуется холод,Высокий
OC53127,2019-01-07,Корпоративный,Продукты питания,14597.21,84.65,30.0,2305.0,Требуется аккуратность,
OD75170,2019-01-08,Корпоративный,Продукты питания,2564.83,12.35,8.0,748.0,Нет,Низкий
OD97006,2019-01-08,Корпоративный,Одежда,336.36,1.65,1.0,3.0,Требуется холод,Высокий
OD94852,2019-01-08,Частный,Медикаменты,731.62,3.65,2.0,150.0,Требуется холод,Высокий
,2019-01-08,Корпоративный,Стройматериалы,2497.55,12.99,8.0,646.0,Нет,Низкий
OC66130,2019-01-08,Частный,Одежда,695.02,3.3,1.0,74.0,Требуется холод,Высокий
OC79068,2019-01-08,Частный,Стройматериалы,863.49,,14.0,915.0,Требуется аккуратность,
OC18117,2019-01-08,Частный,Продукты питания,1582.59,9.28,4.0,319.0,Нет,Средний
OD91418,2019-01-08,Корпоративный,Одежда,548.99,2.28,1.0,119.0,Требуется холод,Высокий
OD88363,2019-01-08,Частный,Продукты питания,210.38,,1.0,43.0,Требуется холод,Высокий
OD13379,2019-01-08,Частный,Техника,2457.31,11.01,7.0,769.0,Нет,Низкий
OR61225,2019-01-08,Корпоративный,Стройматериалы,2468.01,14.61,6.0,699.0,Требуется аккуратность,Низкий
OC48432,2019-01-08,Корпоративный,Техника,442.27,1.98,2.0,142.0,Требуется холод,Высокий
OR60103,2019-01-08,Частный,Техника,2806.55,,7.0,732.0,Нет,Низкий
OD25519,2019-01-08,Корпоративный,Стройматериалы,17546.77,100.26,16.0,1486.0,Требуется аккуратность,
OR43233,2019-01-08,Частный,Одежда,1638.03,8.85,3.0,301.0,Нет,Средний
OC95738,2019-01-08,Корпоративный,Стройматериалы,,15.1,8.0,702.0,Требуется аккуратность,Низкий
OR13514,2019-01-08,Частный,Продукты питания,2599.6,14.65,9.0,872.0,Требуется аккуратность,Низкий
OD59965,2019-01-09,Частный,Медикаменты,346.53,1.85,,115.0,Требуется холод,Высокий
OC36809,2019-01-09,Корпоративный,Техника,937.96,4.53,1.0,52.0,Требуется холод,Высокий
OC25882,2019-01-09,Частный,Продукты питания,75.22,0.45,,39.0,Требуется холод,Высокий
